"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21386","Convidar utilizador: validações negativas e fluxo de submissão com sucesso","main","2026-09-06","passed","2026-09-06","User Invitation — Client Area","","",""
"","20209","Active services tab displays service cards with active statuses after login","depends-on-data","2026-09-06","passed","2026-09-06","Active Services Tab — Client Area","","",""
"","80966","Organization Flow","main","2026-09-06","passed","2026-09-06","Registered Organizations","","",""
"","50187","Upload contract for an accepted proposal - full flow","depends-on-data","2026-09-06","passed","2026-09-06","Backoffice Contracts","","",""
"","38162","Convidar colaborador: validações negativas e fluxo de submissão com sucesso","main","2026-09-06","failed","2026-09-06","User Invitation — Backoffice","","",""
"","12961","User menu dropdown and My Account page structure","main","2026-09-06","passed","2026-09-06","Client Area - User Menu & Preferences","","",""
"","50411","CMS creates opportunity → Backoffice creates proposal → Client accepts it","main","2026-09-06","passed","2026-09-06","Proposal Acceptance - Happy Path","","",""
"","14580","Complete QA Service subscription request and validate success toast","main","2026-09-06","passed","2026-09-06","CMS QA Service Subscription","","",""
"","431","seed","main","2026-09-06","passed","2026-09-06","Test group","","",""
"","59741","Pré-contrato: upload contract with future start date and verify in active services","depends-on-data","2026-09-06","passed","2026-09-06","Active Services Tab — Client Area","","",""
"","43457","CMS creates opportunity → Backoffice creates proposal → Client rejects it","main","2026-09-06","passed","2026-09-06","Proposal Rejection - Unhappy Path","","",""
"","9118","Homepage content population – full scenario coverage","main","2026-09-06","failed","2026-09-06","CMS Homepage Content","","",""
"","24781","Service history tab: cards, pagination, and detail view","main","2026-09-06","skipped","2026-09-06","Service History Tab — Client Area","","",""
"","5870","Sobre Nós page structure – full scenario coverage","main","2026-09-06","passed","2026-09-06","CMS Sobre Nós Page","","",""
"","61238","Selecting a date in the expiry datepicker shows the exact selected date","main","2026-09-06","passed","2026-09-06","TGDC-1068 — Proposal date input off-by-one regression","","",""
"","36540","User Management – screen structure, tabs, filters, sorting, and pagination","main","2026-09-06","passed","2026-09-06","User Management Listing","","",""
"","44463","Save proposal as draft → verify Rascunho status in proposals list → re-open and submit","main","2026-09-06","passed","2026-09-06","Proposal Draft — Save, Verify, Re-open, and Submit","","",""
"","32112","Create proposal from existing opportunity - full flow","main","2026-09-06","passed","2026-09-06","Backoffice Proposals","","",""
"","11946","Create opportunity (full flow) - Successful login and creation","main","2026-09-06","passed","2026-09-06","CMS Opportunities","","",""
"","16697","TGDC-1116 – Display organization details on profile page","main","2026-09-06","passed","2026-09-06","Organization Profile Details — Client Area","","",""
"","43722","Client login - successful authentication via FusionAuth","main","2026-09-06","passed","2026-09-06","Client Area","","",""
"","19127","Submit new client feedback - full flow","main","2026-09-06","passed","2026-09-06","Backoffice Client Feedback","","",""
"","39918","CMS creates opportunity → Backoffice creates proposal → Backoffice cancels it","main","2026-09-06","passed","2026-09-06","Proposal Cancellation","","",""
